capacity_slack,elapsed_sec,final_gap_to_instance_best,final_objective,grid_capacity_slack,grid_mode,grid_tw_tightness,instance_tag,iters_to_target,k_vehicles,method,n_requests,outcome,reference_best,remove_count,seed,shots,target_eps,time_to_target_sec,tw_tightness
0.15,23.51262029999998,0.11282720046316631,387449.7781698711,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,,10,hybrid_alns,100,fixed_budget,348167.063142069,2,50,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,65,10,regret_k,100,time_to_target,,2,50,16,0.01,10.48095920000003,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,standard_alns,100,time_to_target,,2,50,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,qaoa,100,time_to_target,,2,50,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,efficient_su2,100,time_to_target,,2,50,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R100_K10_tw0.15_cap0.15,inf,10,hybrid_alns,100,time_to_target,,2,50,16,0.01,inf,0.15
0.15,25.857353800000055,0.0,391601.3608420613,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,regret_k,150,fixed_budget,391601.3608420613,2,10,16,,,0.15
0.15,25.72882750000008,0.030960889979505364,403725.6874909169,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,standard_alns,150,fixed_budget,391601.3608420613,2,10,16,,,0.15
0.15,39.18861700000002,0.05042641706295812,411348.414386305,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,qaoa,150,fixed_budget,391601.3608420613,2,10,16,,,0.15
0.15,38.712050999999974,0.08346240437296079,424285.35197366314,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,efficient_su2,150,fixed_budget,391601.3608420613,2,10,16,,,0.15
0.15,32.419988500000045,0.10179909052650062,431466.0232247231,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,hybrid_alns,150,fixed_budget,391601.3608420613,2,10,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,81,15,regret_k,150,time_to_target,,2,10,16,0.01,21.1684487,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,standard_alns,150,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,qaoa,150,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,efficient_su2,150,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,hybrid_alns,150,time_to_target,,2,10,16,0.01,inf,0.15
0.15,25.203665499999943,0.058090945123999156,425418.8952630602,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,regret_k,150,fixed_budget,402062.6934041145,2,20,16,,,0.15
0.15,25.585065099999838,0.031861459481185087,414872.99761890585,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,standard_alns,150,fixed_budget,402062.6934041145,2,20,16,,,0.15
0.15,39.43881650000003,0.0,402062.6934041145,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,qaoa,150,fixed_budget,402062.6934041145,2,20,16,,,0.15
0.15,40.04162549999978,0.04836682550516659,421509.1895381286,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,efficient_su2,150,fixed_budget,402062.6934041145,2,20,16,,,0.15
0.15,30.14233639999975,0.04732768613143673,421091.3903627045,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,hybrid_alns,150,fixed_budget,402062.6934041145,2,20,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,regret_k,150,time_to_target,,2,20,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,standard_alns,150,time_to_target,,2,20,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,84,15,qaoa,150,time_to_target,,2,20,16,0.01,33.56371119999994,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,efficient_su2,150,time_to_target,,2,20,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,hybrid_alns,150,time_to_target,,2,20,16,0.01,inf,0.15
0.15,25.820363899999847,0.0,348426.1918157422,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,regret_k,150,fixed_budget,348426.1918157422,2,30,16,,,0.15
0.15,25.53358040000012,0.04025902581325091,362453.49086606485,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,standard_alns,150,fixed_budget,348426.1918157422,2,30,16,,,0.15
0.15,39.35041520000004,0.014530077275549298,353488.8513076503,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,qaoa,150,fixed_budget,348426.1918157422,2,30,16,,,0.15
0.15,39.913396300000386,0.10743278341712673,385858.58741793706,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,efficient_su2,150,fixed_budget,348426.1918157422,2,30,16,,,0.15
0.15,31.222737900000084,0.07966153401344,376182.3567462453,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,hybrid_alns,150,fixed_budget,348426.1918157422,2,30,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,96,15,regret_k,150,time_to_target,,2,30,16,0.01,25.052524300000186,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,standard_alns,150,time_to_target,,2,30,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,qaoa,150,time_to_target,,2,30,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,efficient_su2,150,time_to_target,,2,30,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,hybrid_alns,150,time_to_target,,2,30,16,0.01,inf,0.15
0.15,24.575310900000204,0.0,400127.9900199913,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,regret_k,150,fixed_budget,400127.9900199913,2,40,16,,,0.15
0.15,25.232197400000132,0.11747755912396408,447134.04962471774,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,standard_alns,150,fixed_budget,400127.9900199913,2,40,16,,,0.15
0.15,40.40293429999974,0.10149099515574675,440737.3779167889,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,qaoa,150,fixed_budget,400127.9900199913,2,40,16,,,0.15
0.15,40.04408429999967,0.05865073666795743,423595.7913961329,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,efficient_su2,150,fixed_budget,400127.9900199913,2,40,16,,,0.15
0.15,29.065575099999933,0.037171243573545454,415001.24499761756,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,hybrid_alns,150,fixed_budget,400127.9900199913,2,40,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,88,15,regret_k,150,time_to_target,,2,40,16,0.01,21.8016961000003,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,standard_alns,150,time_to_target,,2,40,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,qaoa,150,time_to_target,,2,40,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,efficient_su2,150,time_to_target,,2,40,16,0.01,inf,0.15
